issuingCompany,tradingName,cnpj,api_prefix
BLIM,BRK ALIMEIRA,585900000148,BLIM
BRKN,BRKCENTRONOR,14435130000161,BRKN
BRKP,BRK AMBI PAR,24396489000120,BRKP
FOZS,RECIFEGOIANA,17119291000134,FOZS
RIOO,BRKOSTRAS,8774784000117,RIOO
BRKL,BRKCFI,12865507000197,BRKL
BCAN,BRKBDTVM,33923111000129,BCAN
BRNP,BRNPAR,11507197000176,BRNP
BDWS,BRODOWSKI,58616119000173,BDWS
BKFE,BROOKFIELDEN,2808298000196,BKFE
BRQB,BRQ,36542025000164,BRQB
HVRD,BRVIA HOLD,12321274000161,HVRD
BRVI,BRVIAS,7911471000109,BRVI
BNSR,BRZ N S RITA,40651516000110,BNSR
BRIB,BRZ RIBEIRAO,55102474000136,BRIB
BSBE,BSBENERGETIC,3820456000196,BSBE
BSIP,BSI SECU,11257352000143,BSIP
BSME,BSME,34078154000118,BSME
BTCO,BTG COMMODIT,4626426000106,BTCO
BTGH,BTGHOLDING,10923227000162,BTGH
BTTT,BTT TELECOMU,39565567000140,BTTT
UNIK,BULLLA,8422119000164,UNIK
BUON,BUONNY PROJE,6326025000166,BUON
BTES,BURITI,47290852000124,BTES
BUSL,BUSSOLARO,29039098000172,BUSL
BZEP,BZ EMP PART,47256820000102,BZEP
CICC,C. DE IL. P.,46976719000163,CICC
CAWP,CAW PROJETOS,173802000101,CAWP
CBDB,C.B.DISTRIB,1914851000102,CBDB
CCOP,C.VALE -,77863223000107,CCOP
C6HG,C6HOLDING SA,29694063000177,C6HG
CAIV,CAINVESTMENT,28132263000173,CAIV
CAAT,CAATINGACAPI,45954677000105,CAAT
CABA,CABAGUASAGRE,15401489000180,CABA
CGEN,CACHOEIRA GR,44650027000103,CGEN
CPTE,CACHOEIRA,5336882000184,CPTE
KEDU,CAEDU COM SA,46377727000193,KEDU
CAEL,CAELUM,43372104000130,CAEL
CAEP,ABRILEDUCACA,3824725000192,CAEP
CAEC,CAGECE,7040108000157,CAEC
CAIT,CAIUAENERGIA,14832534000199,CAIT
CXSE,CAIXA SEGURI,22543331000100,CXSE
CLMO,CALAMO,6147451001104,CLMO
CLNG,CALANGO6,19560837000113,CLNG
CALB,CC  BEBECE,90445206000118,CALB
CLGE,CALDEIRÃO GR,12960213000144,CLGE
CGRS,CALDEIRAO GR,48949370000104,CGRS
CNOR,CALOINORTE,4301024000131,CNOR
CAMA,CAMARADA,32678980000172,CAMA
CCCP,CAMCORPART,11196609000102,CCCP
CCIM,CC DES IMOB,67203208000189,CCIM
CCIF,CAMARGOINFRA,2372232000104,CCIF
CCHO,CAMARGO,1098905000109,CCHO
CBEI,CAMBUCI EM,38448495000199,CBEI
CAMB,CAMBUCI,61088894000108,CAMB
CAML,CAMIL,64904295000103,CAML
CFMS,CAMPOFORMOSO,17613280000106,CFMS
CMFI,CAMPOII,17613629000100,CMFI
CLGP,CAMPO LARGO,16990436000105,CLGP
CPVV,CAMPOSVENTOS,10797888000199,CPVV
CNEN,CAMPOSNOVOS,3356967000107,CNEN
CNBE,CANABRAVA,11235729000163,CNBE
CASC,CANAL SEC,41811375000119,CASC
CGCE,CANTAGERACAO,34714322000114,CGCE
CTRR,CANTAREIRA,20732109000120,CTRR
CTTP,CAP TC TORRE,34878487000121,CTTP
CCAG,CAPAL,78320397000196,CCAG
IGRS,CAPEIGARASSU,30653585000100,IGRS
CRNI,CAPRICORNIO,60745411000138,CRNI
CDAI,CARANDAIPART,31435086000109,CDAI
CRNG,CARANGOLAPA,50839551000111,CRNG
CAR0,CARBEL AUTO,42920926000145,CAR0
CRHF,CARBON HOLD,29267972000129,CRHF
CRBP,CARBONO PART,31481107000122,CRBP
CPCL,CARGO POLO,15665528000157,CPCL
CTGO,CARTAGOIAS,3752385000131,CTGO
CRUN,CARUANAPART,7882656000124,CRUN
CARU,CARUANACFI,9313766000109,CARU
HOSK,CARVALHOHOSK,33342023000133,HOSK
CSVE,CASADOSVENTO,43162519000189,CSVE
CVRJ,CASAEVIDEO,11114284000163,CVRJ
CMSF,CASHME,34175529000168,CMSF
CSTR,CASTERTECH,8304706000159,CSTR
CTIG,CATARATAS,3119648000170,CTIG
CTTL,CATTALINI,75633560000182,CTTL
CVAN,CAVANROCBRA,12411822000144,CVAN
CVRN,CAVERNOSO II,55560187000170,CVRN
CBCF,CB CIA SEC,43688224000140,CBCF
CBFG,CBF IND,36312056001010,CBFG
CBOH,CBO,14882295000181,CBOH
CBOS,CBOSERVMARIT,8795463000107,CBOS
CBVV,CBV - CENTRO,6160688000153,CBVV
CCAB,CCAB,8938255000101,CCAB
SLFN,CCBBRASILCFI,92764489000196,SLFN
CCMS,CCM IND,12288046000137,CCMS
CDAA,CDA ALIMENTO,26651646000122,CDAA
CDFS,CDF ASSISTEN,8769874000110,CDFS
CEAD,CEAII,24274124000123,CEAD
CEIV,CEAIVCENTRAI,38249067000137,CEIV
CEAB,CEA MODAS,45242914000105,CEAB
CEBS,CEABS,14117458000130,CEBS
CDAR,CEDARLOCACO,46371315000146,CDAR
CEDP,CEDRO SA,30740917000193,CEDP
CLEX,CELEO REDES,32063222000140,CLEX
CLOR,CELEO,31001230000107,CLOR
CLCD,CELESC DISTR,8336783000190,CLCD
CLGR,CELESC GERAC,8336804000178,CLGR
CENP,CELESTE,56226717000100,CENP
CESE,CELSESERGIPE,23758522000152,CESE
CHEP,CEMA HOSP,47192752000165,CHEP
MAPT,CEMEPE,93828986000173,MAPT
CMCB,CAPIMBRANCO,4432851000164,CMCB
CMGD,CEMIG DIST,6981180000116,CMGD
CMGT,CEMIG GT,6981176000158,CMGT
CLSC,CELESC,83878892000155,CLSC
EPSA,EPASA,10366780000141,EPSA
CEPR,EPESA,6212748000134,CEPR
ELTN,AXIA NORTE,357038000116,ELTN
SSRU,ASSURUAISPE,23778492000146,SSRU
CEOL,CAETITEPART,9341337000137,CEOL
CCGR,CENTRALCAPIT,46791648000124,CCGR
CENN,NOVA IGUACU,7085695000109,CENN
EANG,ANGICAL,14570783000153,EANG
EBFU,EOLICAFEIJAO,14496492000162,EBFU
EBFD,EOLICAFEIJAO,14496545000145,EBFD
EBFT,EOLICAFEIJAO,14496290000110,EBFT
EBFQ,EOLICAFEIJAO,14496317000175,EBFQ
ECTT,CAITITU,14570861000110,ECTT
ECOQ,COQUEIRINHO,14570819000107,ECOQ
ECRP,CORRUPIAO,14570800000152,ECRP
EINH,INHAMBU,14572367000194,EINH
EOSP,STOANTONIOPA,9601233000114,EOSP
EOSC,SAOCRISTOVAO,10272500000136,EOSC
EOSJ,SAOJORGE,9571485000148,EOSJ
ETMD,EOLICATAMAND,14571068000135,ETMD
TEIU,EOLICATEIU,14570839000170,TEIU
CETS,E TERRASANTA,24895239000135,CETS
CEII,TERRASANTAII,24894829000143,CEII
CESO,CENTRAL FOT,47852563000171,CESO
CFBL,CEN BOA SOR,47856443000142,CFBL
CEBO,CENT CENT,47853438000186,CEBO
CEFO,CENTRAL FOTO,47853413000182,CEFO
CFVB,FOTOV,47852431000140,CFVB
FOSP,CENTRAL BS21,47852265000181,FOSP
FTSP,FOTOVOLT S P,24068977000109,FTSP
SPIV,FOTOVOLTSPIV,24069089000100,SPIV
ECOL,COLONIA,11476958000170,ECOL
EICA,ICARAII,11476987000131,EICA
EICD,ICARAIII,11477001000148,EICD
EAGU,TAIBAAGUIA,11477009000104,EAGU
EAND,EOLICATAIBA,11477020000174,EAND
HITC,CHPALTOCANTI,23485534000150,HITC
SUCU,CHSUCURI,23509244000108,SUCU
CENM,CMCOSMETICOS,54801535000190,CENM
CPOG,CENTROPAULIS,52164662000109,CPOG
CESU,CENTRO SUL C,50747046000147,CESU
CEOS,CEOSADM,23698040000154,CEOS
CDER,CERENERGIAS,15721727000135,CDER
CERN,CERAN,4237975000199,CERN
CEIH,CERES I.H,61346097000183,CEIH
CESC,CERES SECU,41534746000162,CESC
UCAA,CERRADINHOEN,47062997000178,UCAA
CERR,CERRADINHO,8322396000103,CERR
CESP,CESP,60933603000178,CESP
CTRL,CETREL,14414973000181,CTRL
CGDE,CGD EMPREEND,5368250000100,CGDE
CGHR,CGH RIO CLAR,52230272000181,CGHR
CHPA,CHAPADAI,20512213000100,CHPA
CHBR,CHBCH,10694628000198,CHBR
CHMB,CHEMBRO QUIM,3264294000157,CHMB
CHTE,CHIMARRAOENE,32398119000150,CHTE
BICB,CCBBM,7450604000189,BICB
CHTH,CHINA THREE,19014221000147,CHTH
CBRH,CHLORUMBR,20034081000158,CBRH
CIEI,CI 004 EMPR,33951663000140,CIEI
PCAR,P.ACUCAR-CBD,47508411000156,PCAR
CASN,CASAN,82508433000117,CASN
GPAR,CELGPAR,8560444000193,GPAR
CEGR,CEG,33938119000169,CEGR
CEEB,COELBA,15139629000194,CEEB
CEBR,CEB,70698000111,CEBR
CMIG,CEMIG,17155730000164,CMIG
CEPE,CELPE,10835932000108,CEPE
COCE,COELCE,7047251000170,COCE
CSRN,COSERN,8324196000181,CSRN
CEED,CEEE-D,8467115000100,CEED
CGEE,CEEE-G,39881421000104,CGEE
FESA,FERBASA,15141799000103,FESA
CEDO,CEDRO,17245234000100,CEDO
CGAS,COMGAS,61856571000117,CGAS
CTGE,CGTELETROSUL,2016507000169,CTGE
HBTS,HABITASUL,87762563000103,HBTS
CATA,IND CATAGUAS,19526748000150,CATA
MSPA,MELHOR SP,60730348000166,MSPA
CPLE,COPEL,76483817000120,CPLE
PEAB,PAR AL BAHIA,1938783000111,PEAB
PALF,PAUL F LUZ,33050196000188,PALF
CPFP,CPFL PIRATIN,4172213000151,CPFP
RSAN,CORSAN,92802784000190,RSAN
SBSP,SABESP,43776517000180,SBSP
CSMG,COPASA,17281106000103,CSMG
SAPR,SANEPAR,76484013000145,SAPR
IOUU,COMPANHIA SE,40020431000134,IOUU
VERL,VERT-LEVECAP,36699688000197,VERL
NEXO,VERT-NEXOOS,30418658000189,NEXO
VEEX,VERTPARCELEX,35522391000199,VEEX
CSVO,VOLCANO II,39615622000160,CSVO
CVRT,VERT FINTECH,30219233000140,CVRT
CRCG,CIASECURIT,35522178000187,CRCG
CRFN,VERT PROVI,34469625000119,CRFN
SCCC,CIA SEC BMG,27137879000174,SCCC
VUME,COMPSECURIT,40885785000141,VUME
SCVR,CIASECVERT 2,34354458000160,SCVR
5VRT,CIA VERT5,37368315000104,5VRT
CFVT,COMPANHIASEC,40173398000182,CFVT
VOLC,COMSECREDFIN,39332327000104,VOLC
CSNA,SID NACIONAL,33042730000104,CSNA
CTSA,SANTANENSE,21255567000189,CTSA
CMLA,CIARAMA,4410878000156,CMLA
CIBP,CIBE,9376471000173,CIBP
CFRT,CIBRAFERTILI,117842000128,CFRT
CIMO,CID MOTA,46059743000138,CIMO
CDDN,CIDADANIA,23643683000109,CDDN
CMRV,CIDADE MARAV,9611669000194,CMRV
CIEL,CIELO,1027058000191,CIEL
CSCS,CIFRACFI,8030215000167,CSCS
CIMA,CIMAR,15129010000107,CIMA
CMED,CIMED,16619378000108,CMED
CIME,CIMED INDUST,2814497000107,CIME
CINL,CINEL,12105844000186,CINL
CICL,CIPALAM,6943259000152,CICL
CIPS,CIPASA,5262743000153,CIPS
CIH2,CIRANDA I HO,41862766000162,CIH2
CIHI,CIRANDAIHO,40689707000171,CIHI
CHDD,CIRANDA II,41643306000143,CHDD
CIIH,CIRANDAIIHOL,40689824000135,CIIH
CISI,CISS,82213604000180,CISI
CLRJ,CLRJ012 EMPR,43978542000146,CLRJ
CTSE,CLSITES,62964459000162,CTSE
CLCA,CLAM CAPITAL,40146898000125,CLCA
CLAE,CLARIENS,48199560000143,CLAE
CLRN,CLARINDOPART,27411676000124,CLRN
BCPS,CLAROSA,40432544000147,BCPS
CLIS,CLI SUL S.A.,43514079000181,CLIS
DFNG,CLINICADELFI,16047490000111,DFNG
CPMM,CLINICA PREM,9121329000185,CPMM
CLBH,CLINICAS BRA,23670693000125,CLBH
CLRE,CLIQUERETIRE,27609855000170,CLRE
VVEO,VIVEO,12420164000157,VVEO
COAM,COAMO AGRO,75904383000121,COAM
COAS,COASUL COOP,79863569000130,COAS
COAP,COBAP,7329386000129,COAP
CCIA,COCAL,44373108000103,CCIA
CCOA,COCAL PARTIC,50527638000153,CCOA
CPTO,COCAL PASSA,61806505000132,CPTO
COCL,COCALR,61806722000122,COCL
CCAI,COCARI,78956968000183,CCAI
CODE,CODEME,16521601000180,CODE
COGN,COGNA ON,2800026000140,COGN
VMSA,VIMASA,19213316000190,VMSA
CLNS,COLINAS ENER,31326856000185,CLNS
CLAG,COLOMBO AGRO,44330975000153,CLAG
COER,COLORADO S.A,46633720000195,COER
CLND,COLUMBIA,13332013000100,CLND
COBB,COMBIO,10376555000196,COBB
COMR,COMERC PAR,25369840000157,COMR
DPAS,COMERCIALSA,45987005000198,DPAS
COGL,GERMANICA,2952561000116,COGL
BRAR,BRAIR,88212113000100,BRAR
CFRI,COMFRIO,1413969000157,CFRI
CAES,CIASERVICOS,7878951000107,CAES
JCRZ,CIAJACAREZIN,61231478000117,JCRZ
ITPE,AGUASDEITAPE,6220197000150,ITPE
CARC,ASA RENTCAR,7005206000153,CARC
BAUE,BAUERRJ,8183208000103,BAUE
CBAV,CBA,61409892000173,CBAV
CBBP,PREMIUM,9325874000193,CBBP
EDSE,COMPANHIA BR,6267630000103,EDSE
COVE,COM BRA ENER,9378010000130,COVE
CBPF,P FUNERARIOS,26366052000170,CBPF
CBVP,CIABRAVIDROS,10858291000107,CBVP
CPDA,CAMINHOAEREO,33229410000168,CPDA
AERN,CAERN,8334385000135,AERN
CCNL,NOVO LITORAL,55198181000102,CCNL
CDMG,CODEMIG,19791581000155,CDMG
CEAP,CEA AMAPA,5965546000109,CEAP
CBHI,BAHIAGAS,34432153000120,CBHI
GASM,GASMIG,22261473000185,GASM
SULG,SULGAS,72300122000104,SULG
CPCC,CIA PART CON,9367702000182,CPCC
MTBA,METRODABAHIA,18891185000137,MTBA
MTRO,METRO-SP,62070362000106,MTRO
CNDS,ENERGCANDEIA,10508162000199,CNDS
KNOA,ENERG CANOAS,10618009000114,KNOA
CEJA,CEJA,3581989000162,CEJA
ENJG,JAGUARA,28925264000175,ENJG
ENMI,MIRANDA,28942127000149,ENMI
PTGR,POTIGUAR,9439128000120,PTGR
CSNP,SINOPENERG,19527586000175,CSNP
CFLO,LUZDOOESTE,77882504000107,CFLO
CPJG,CIAJAGUARI,53859112000169,CPJG
LIGN,CIALIGNA,52947108000190,LIGN
CMNP,CIAPARANA,61082962000121,CMNP
CMPD,METAL PRADA,56993900000131,CMPD
MTRN,METRONORTE,7486185000135,MTRN
COM9,CIA MÜLLER,3485775000192,COM9
CPNA,CIAALCOOL,60881299000162,CPNA
CNCC,CIMENTO NAC,7957149000102,CNCC
NEEC,COMPNACIONAL,61416244000144,NEEC
CNQB,CIANITROQUIM,61150348000150,CNQB
CPGS,COMPAGAS,535681000192,CPGS
CPYS,CPYS,58800249000161,CPYS
PVSC,COM PROVIN,4200649000107,PVSC
RPAY,RECARGAPAYVE,30545324000176,RPAY
VCP7,VERT-7,37368241000106,VCP7
GYRA,VERTGYRA,32770457000171,GYRA
SULD,SULAMERICANA,11517841000197,SULD
TRSR,TRANSIRAPE,7153003000104,TRSR
TRLT,TRANSLESTE,5974828000164,TRLT
TRSU,TRANSUDESTE,7085630000155,TRSU
UTRG,ULTRAGAZ,61602199000112,UTRG
PASS,COMPASS,21389501000181,PASS
MACN,MARACANA,17831131000113,MACN
CXER,MORRINHOSENE,20829557000147,CXER
CPOR,COMPORTEPART,5169726000176,CPOR
CCNS,CONASA COMPA,8837556000149,CCNS
CNSA,CONASA,20220446000139,CNSA
RPTA,CONC RAPOSO,10531501000158,RPTA
AGRU,GRUAIRPORT,15578569000106,AGRU
ECOV,ECOVIAS,2509491000126,ECOV
CRTE,CONC RIO TER,938574000105,CRTE
ASCP,ECOPISTAS,10841050000155,ASCP
RDVT,ROD TIETE,10678505000163,RDVT
CRBD,RT BANDEIRAS,10647979000148,CRBD
ANHB,AUTOBAN,2451848000162,ANHB
MTRJ,CMTRJ,10324624000118,MTRJ
CAJS,JUTURNAÍBASA,2013199000118,CAJS
ALLA,ALLEGRA PACA,30262440000188,ALLA
CBHN,BAHIANORTE,12160715000190,CBHN
CBCS,CONCESSBCENT,42206269000179,CBCS
CBSS,CONCESSBLOCO,42130537000116,CBSS
VIAC,VIA COSTEIRA,36763716000198,VIAC
CLMS,LINHA15METRO,33458409000105,CLMS
CNLM,LINHA4,7682638000107,CNLM
RDLA,RODLAGOS,1612234000152,RDLA
RDVI,RODOV MG-050,8822767000108,RDVI
CNRD,ROD MS-306,36128741000108,CNRD
LMSP,METROSAOPAUL,29938085000135,LMSP
CLTM,CONCESSIONÁR,42288184000187,CLTM
RLMS,RODOLESTE,48851242000115,RLMS
ISUL,RODSUL,32161500000100,ISUL
ARAJ,CONCESSIONÁR,39763833000140,ARAJ
TANA,TANCONCESS,39781156000192,TANA
COOV,CONCE NOVA,60437929000104,COOV
CRTO,NOVA 381,58239603000120,CRTO
COMA,CONC MT SA,19642306000170,COMA
IVIA,RODPAULISTA,3207703000183,IVIA
CRNP,NORPAULIS,49314049000108,CRNP
CCPV,ROD PRVIAS,59196897000113,CCPV
RGRA,ROTADOSGRAOS,41315638000107,RGRA
CSAA,CONCSANEAMEN,44109598000127,CSAA
CAPP,AEROPAMPULHA,44140908000176,CAPP
CAIF,FLORIANOPOLI,27844178000175,CAIF
RDOE,CONCESRODOES,9387725000159,RDOE
CSRR,CONCRIOSP,44319688000142,CSRR
AEAM,CONCESSAEROP,42548035000100,AEAM
ECVM,CONCESSIONAR,2221155000183,ECVM
ECAR,ECAR,15090690000194,ECAR
ECER,CONCECOVIAS,35593905000105,ECER
CERT,ECO RAPOSO,58607200000197,CERT
LNUV,LINHA UNI SA,35588161000122,LNUV
CLNA,NORTE,3643134000119,CLNA
CMSP,MOVESP,19368924000173,CMSP
ECPN,ECOPONTE,22163297000149,ECPN
CRNS,RODONORTE,50399553000137,CRNS
RODT,RODOVIATAMOI,21581284000127,RODT
CRCF,CRCAFE SPE,51742485000120,CRCF
CRTR,RODTRIANG,48127012000108,CRTR
CNRO,C ROTA A MT,64017857000105,CNRO
CSSA,CONCESS ROTA,41886692000102,CSSA
RATL,ATLANTICO,13799190000109,RATL
CRTA,CONCOESTE,19521322000104,CRTA
RTCQ,CONCESROTA D,8533336000121,RTCQ
ROTD,ROTA DOURADA,59778237000140,ROTD
ROTY,SOROCABANA,58484141000107,ROTY
SPMA,SPMAR,9191336000153,SPMA
CTOL,VIARIO,15440708000130,CTOL
CVLT,CVLT CARIOCA,18201378000119,CVLT
COSA,CONCÓRDIA,57833128000153,COSA
CON0,CONDOR,86046448000161,CON0
CNSC,CONDORSUPERC,76189406000126,CNSC
CONX,CONDUMAX,53224127000150,CONX
CONE,CONE,11860795000124,CONE
CONL,CONEDI PART.,7353227000160,CONL
CONF,CONFLUENCIAE,5104205000130,CONF
CNSG,CONSAG,40008239000122,CNSG
ODER,ODERICH,97191902000194,ODER
CSCF,CONSIGNADOS,29894663000189,CSCF
FUNE,FUNERARIASPE,44615216000137,FUNE
CCCC,CCCAMARGOCOR,61522512000102,CCCC
TRIU,TRIUNFOSA,77955532000107,TRIU
CALI,CONST A LIND,61022042000118,CALI
CAII,CONST APIA,17155391000116,CAII
ATMM,ATERPA,17162983000165,ATMM
BAME,BARBOSAMELLO,17185786000161,BAME
CBRL,CONSTR BRA,2156313000169,CBRL
CMTS,METROCASA,27743642000137,CMTS
CQGV,CONSTRUTORAG,33412792000160,CQGV
TEND,TENDA,71476527000135,TEND
CTAX,CONTAX,4032433000180,CTAX
CTCP,CONTECAPITAL,12447643000167,CTCP
CTSL,CONTERP,4487080000102,CTSL
CSTI,CONTINUYSERV,33175360000183,CSTI
COLE,CONTROL,2949016000170,COLE
CVCN,CONVICON,6013760000110,CVCN
COOO,COOP PLANT,71320915000122,COOO
COAA,COOPERATIVA,77890846000179,COAA
CATR,AGROTRADIÇÃO,5528196000105,CATR
CSER,CENTRO SERRA,27942085000183,CSER
CCSP,COOP PLANTA,54366547000134,CCSP
CRGX,COOXUPÉ,20770566000100,CRGX
CPCI,COOPERCITRUS,45236791000191,CPCI
CDGS,COPAGAZ DIST,3237583000167,CDGS
CGEP,COPACABANA,23318135000103,CGEP
COGR,COPACOL,76093731000190,COGR
CPPA,COPAPACOMPAN,31590862000145,CPPA
CPLD,COPELSA,4368898000106,CPLD
CPGT,COPEL G T SA,4370282000170,CPGT
CPEL,COPEL SERV,19126003000102,CPEL
COPO,COPO,86445822000100,COPO
COQE,COQUEIROS,10242700000146,COQE
CRII,COREMAS II,36401730000141,CRII
CORE,COREMAS HOLD,35516163000106,CORE
CTEP,CORPOREOS,8845676000198,CTEP
CSPS,CORPSERVICES,29403100000140,CSPS
CRRP,CORR PLASTIK,67731091000106,CRRP
CORK,CORR PLAST,8984318000166,CORK
CRPL,CORR PLAS,32540611000119,CRPL
CLII,CORREDOR LOG,15114494000102,CLII
CRUM,CORUMBA,4066598000172,CRUM
CSAN,COSAN,50746577000115,CSAN
CTMS,COTEMINASSA,7663140000199,CTMS
COTV,COTIAVITORIA,1826229000142,COTV
CVSL,COTRASA VEIC,24951802000145,CVSL
COXM,COXIM ENER,17309698000124,COXM
CPFC,CPFLCOMERCBR,4973790000142,CPFC
CPCE,CPFL CONESUL,2190883000175,CPCE
CPFE,CPFL ENERGIA,2429144000193,CPFE
CPRE,CPFL RENOVAV,8439659000150,CPRE
CPFG,CPFL GERACAO,3953509000147,CPFG
CPFS,CPFL,58635517000137,CPFS
EEEL,CEEE-T,92715812000131,EEEL
CPMS,CPM,65599953000163,CPMS
CPQB,CPQBRASIL,74552068000110,CPQB
CPCS,CPS CIA.,119633000113,CPCS
CPXD,CPX DISTRIBU,10158356000101,CPXD
CRSS,CR SECU,48116288000190,CRSS
CDTA,CREDITACFI,12599971000189,CDTA
CRED,CREDZ,12109247000120,CRED
CREM,CREMER,82641325000118,CREM
CRWS,CRISTALCOPO,5316470000182,CRWS
CRMX,CROMEX,2271463000113,CRMX
CRSM,CROMOSSOMOII,13487195000198,CRSM
CRMP,CROMOSSOMO,59139122000106,CRMP
CSED,CRUZEIRO EDU,62984091000102,CSED
CRUE,CRUZEIRO ESP,44490706000154,CRUE
RIGR,CRVRRIOGRAND,3505185000184,RIGR
CSBN,CSBIO,20595947000108,CSBN
CSFR,CSBRASILFROT,27595780000116,CSFR
CSHO,CSBRASILHOLD,41934221000114,CSHO
CSBR,CS BR PARTIC,35502310000199,CSBR
CSBT,CS BR TRANSP,10965693000100,CSBT
CSIT,CSIXERS 3,44650210000109,CSIT
CSIX,CSIXERS HOLD,33791596000144,CSIX
HOLC,LAFARGEHOLCI,60869336000117,HOLC
CSNS,CSNCIMENTOS,38282487000115,CSNS
CMIN,CSNMINERACAO,8902291000115,CMIN
CSUD,CSU DIGITAL,1896779000138,CSUD
CTCA,CTC S.A.,6981381000113,CTCA
CESF,CUIABA ESPOR,4847144000139,CESF
INGL,CULTURAINGLE,17855050000153,INGL
BRCU,CURA,50252998000190,BRCU
CURY,CURY S/A,8797760000183,CURY
CUTI,CUTIA,10979076000164,CUTI
CVCB,CVC BRASIL,10760260000119,CVCB
LLBI,LE BISCUIT,16233389000155,LLBI
CYSE,CYBERSECU,60405283000183,CYSE
CYRE,CYRELA REALT,73178600000118,CYRE
DMVF,D1000VFARMA,12108897000150,DMVF
DMTA,DA MATA S.A,8110543000173,DMTA
DALH,DAHLIA,9551766000139,DALH
DASS,GRUPO DASS,1287588000179,DASS
DB3S,DB3 TELECOM,41644220000135,DB3S
DCEL,DCELT,83855973000130,DCEL
DEHO,DECIO HOLD,39848608000106,DEHO
DEFT,DEFI TECH,0,DEFT
DELG,DELGA,61532198000149,DELG
DCHO,DELIVERY CEN,26712233000100,DCHO
PTMI,POTAMIENERGI,15190480000178,PTMI
DENG,DELTA5,18496468000184,DENG
DESA,DELTA6,18496440000147,DESA
DETA,DELTA 7,30866030000146,DETA
DEET,DELTA 8,30853820000197,DEET
DENE,DELTA USFV,47710720000104,DENE
DGDE,DELTAGERAÇÃO,13787764000110,DGDE
SRGI,DELTA SUCRO,13537735000109,SRGI
DUTI,DELTASULUTIL,98102924000101,DUTI
DEGE,DENERGE,45661048000189,DEGE
ACEL,ALDOCOMPONEN,81106957000119,ACEL
DESK,DESKTOP,8170849000115,DESK
AGBO,AGUA BONITA,50227255000160,AGBO
DSTL,DESTILLA BIO,23393856000170,DSTL
DBSA,DEUTSCHEBM,62331228000111,DBSA
DXCO,DEXCO,97837181000147,DXCO
DEXP,DEXXOS PAR,2193750000152,DEXP
DGBL,DGBGEO,3555201000143,DGBL
DGRA,DGRANEL,22447684000107,DGRA
DASA,DASA,61486650000183,DASA
DALG,DIALOGO,57132417000125,DALG
DNBG,DIANABIOENER,45902707000121,DNBG
DBEN,DIBENS LSG,65654303000173,DBEN
DIKK,DICCKER,10591387000151,DIKK
DGTL,DIGITALDC,19291041000102,DGTL
PNVL,DIMED,92665611000177,PNVL
DNGA,DINAGRO,55991921000155,DNGA
DPGR,DIPAGRO LTDA,6338993000192,DPGR
DIRR,DIRECIONAL,16614075000100,DIRR
DISK,DISKTRANS,66616970000124,DISK
DACM,CAMACARI,1944031000163,DACM
AGFO,AGUASTRIUNFO,11669168000100,AGFO
RBPL,RB PETROLEO,1256137000174,RBPL
DVOM,DIVCOM,3755215000100,DVOM
DIXE,DIXEMP,4409762000105,DIXE
DMPR,DMPARTICIP,31406885000157,DMPR
DMAD,DMA DISTRIBU,1928075000108,DMAD
DMCR,DMCARD,16581207000137,DMCR
DMCA,DMCARD PART,45586447000122,DMCA
DMCS,DMCARD SEC,36238874000129,DMCS
DBRV,DOBREVE,10827444000159,DBRV
DOBR,DOBREVEPART,80983992000153,DOBR
CCTC,DOCK,3645772000179,CCTC
DOCL,DOCOL,75339051000141,DOCL
DOHL,DOHLER,84683408000103,DOHL
DOVI,DOMUS VII,59931221000126,DOVI
DOTZ,DOTZ SA,18174270000184,DOTZ
DDQU,DOURADOQUARA,48566571000114,DDQU
DRDE,DOURADOSENER,42936159000162,DRDE
DEII,DOURADOS II,53732390000150,DEII
DOXB,DOXDOBRASILC,11240586000188,DOXB
REDD,DRREDDYSFARM,3978166000175,REDD
DRAM,DRAMD,94800018000111,DRAM
DGSP,DROGARIASP,61412110000155,DGSP
DTCY,DTCOM-DIRECT,3303999000136,DTCY
DUTE,DUNASTRANSMI,31095265000144,DUTE
DURX,DURATEX FLOR,43059559000108,DURX
DUXC,DUX,31112243000145,DUXC
DYDC,DYN DC DATA,34878437000144,DYDC
EPIN,E&PINFRAEST,44457285000160,EPIN
ESHD,E1SUBHOLDING,43409450000145,ESHD
ESB1,E1 SUBHOLDIN,40195572000198,ESB1
EBNX,EBANX,13236697000146,EBNX
EBYR,EBER BIOENER,9075242000119,EBYR
EBSE,EBESSISTEMAS,12194903000130,EBSE
EBTE,EBTEEMP,10319371000194,EBTE
ECHP,ECHOENERGIA,24743678000122,ECHP
ECJO,ECO JORDAO,32917822000128,ECJO
RMGG,ECO050RODO,19208022000170,RMGG
ECOC,ECO101,15484093000144,ECOC
CECO,ECO135,30265100000100,CECO
ECGN,ECOGEN,5401842000179,ECGN
ECIR,ECONOMIA CIR,42063007000100,ECIR
ECPO,ECOPORTO S/A,2390435000115,ECPO
ECRD,ECORODOANEL,29884545000190,ECRD
ERDV,ECON,8873873000110,ERDV
ECOR,ECORODOVIAS,4149454000180,ECOR
EURB,ECOURBIS,7037123000146,EURB
ECTE,ECTESA,3984987000114,ECTE
EDEP,EDEN,60602195000171,EDEP
EDFH,EDF BRA,55687227000149,EDFH
